Categorie,Nom,Code Postal,Ville,Activite principale
GE,ATOS INFOGERANCE ,38000,GRENOBLE,Gestion d installations informatiques
ETI,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS ONISEP,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ETI,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE SII,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ASSOCIATION CHAMPOLLION ,38000,GRENOBLE,Programmation informatique
GE,SOPRA STERIA GROUP ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,SILICOM SILICOM,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,CRIF INFORMATIQUE ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ETUDES INFORMATIQUES GESTION ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
ETI,T D F TDF,38100,GRENOBLE,Telecommunications sans fil
GE,SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR SFR,38100,GRENOBLE,Telecommunications sans fil
GE,ALTEN ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
GE,GRENOBLOISE D INFORMATIQUE PERIPHERIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,ALOE INFORMATIQUE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,AXE INFORMATIQUE ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
ETI,PRODWARE SA ,38000,GRENOBLE,Tierce maintenance de systèmes et d applications informatiques
GE,MODIS FRANCE ,38000,GRENOBLE,Programmation informatique
ETI,SMILE ,38000,GRENOBLE,Programmation informatique
GE,ORANGE ,38000,GRENOBLE,Telecommunications filaires
GE,ORANGE ,38000,GRENOBLE,Telecommunications filaires
GE,ORANGE ,38000,GRENOBLE,Telecommunications filaires
GE,ORANGE ,38000,GRENOBLE,Telecommunications filaires
GE,ORANGE ,38100,GRENOBLE,Telecommunications filaires
GE,ORANGE ,38000,GRENOBLE,Telecommunications filaires
GE,BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
GE,BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
GE,BUSINESS & DECISION INTERACTIVE EOLAS ,38000,GRENOBLE,Programmation informatique
GE,BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique
GE,BUSINESS & DECISION INTERACTIVE EOLAS ,38100,GRENOBLE,Programmation informatique
PME,INDEXPRESSE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,ASS UNION ALPINE PRESTATIONS ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,DACTYL'ASSISTANCE ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,BASSETTI ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,BASSETTI ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,BASSETTI ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,JB DEVELOPPEMENT ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,ASS RRESALP ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,ABS GRENOBLE ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,MAC PIECE A2C,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ADAMAH ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,NEXUS/FRANCE ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
GE,EXPERIS FRANCE ,38000,GRENOBLE,Gestion d installations informatiques
GE,BOUYGUES TELECOM ,38100,GRENOBLE,Telecommunications sans fil
ETI,NORSYS SAS ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
ETI,SULLY GROUP ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
GE,SFR FIBRE SAS ,38000,GRENOBLE,Telecommunications filaires
PME,NEPTUNE INTERNET SERVICES ,38000,GRENOBLE,Gestion d installations informatiques
ETI,ALTECA ,38000,GRENOBLE,Programmation informatique
GE,ATOS INTEGRATION ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,HYPEROBJECTS ,38000,GRENOBLE,Programmation informatique
PME,PART'INFO ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
GE,CORYS CORYS,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,DESIGN AND REUSE ,38000,GRENOBLE,Portails Internet
PME,BILENDI TECHNOLOGY ELMA,38100,GRENOBLE,Programmation informatique
PME,DIGIMIND ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,NODULE MULTIMEDIA ,38000,GRENOBLE,Programmation informatique
ETI,VISEO TECHNOLOGIES ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,CREAWE SERVICES ,38100,GRENOBLE,Programmation informatique
PME,SARL DEGECOM ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ALLIANCE INFORMATIQUE ,38000,GRENOBLE,"Traitement de données, hébergement et activités connexes"
PME,CHARLET MICRO INFORMATIQUE & INTERNET CM2I,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,VIRTUAVIA ,38000,GRENOBLE,Programmation informatique
PME,IROC TECHNOLOGIES ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,DIFFUSION ACTIVE ,38000,GRENOBLE,Programmation informatique
ETI,RAYNET ,38000,GRENOBLE,Tierce maintenance de systèmes et d applications informatiques
PME,ALPES DAUPHINE CONSULTING ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,LINKEO.COM ,38000,GRENOBLE,Portails Internet
PME,SAJ ,38000,GRENOBLE,Programmation informatique
PME,KIBATIC ,38100,GRENOBLE,Programmation informatique
PME,ALTINEIGE ,38000,GRENOBLE,Programmation informatique
ETI,ADENTIS ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,INTERNET ,38100,GRENOBLE,Tierce maintenance de systèmes et d applications informatiques
PME,INTERNET ,38100,GRENOBLE,Tierce maintenance de systèmes et d applications informatiques
GE,CITYWAY ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ECEDI ,38000,GRENOBLE,Programmation informatique
PME,LAETICIA ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,SYSOCO ,38100,GRENOBLE,Autres activités de télécommunication
PME,INFOTECH ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,NEXTHAL ,38000,GRENOBLE,Autres activités informatiques
PME,ID NOVA ,38100,GRENOBLE,"Traitement de données, hébergement et activités connexes"
ETI,RODACOM ,38000,GRENOBLE,Conseil en systèmes et logiciels informatiques
PME,ACKTIL ,38100,GRENOBLE,Programmation informatique
PME,PROBESYS ,38100,GRENOBLE,Conseil en systèmes et logiciels informatiques
